index,Latest Revenue,Previous Quarter,3 Quarters Revenue,4 Quarters Revenue,Latest Gross Profit,Previous Gross Profit, 3 Quarters Gross Profit,4 Quarters Gross Profit,Latest Net Income,Previous Net Income,3 Quarters Net Income,4 Quarters Net Income,Market Cap,Sector,Next Earnings,Ticker,P/E Ratio TTM,Price to Sales TTM,Price to Cash Flow MRQ,Price to Free Cash Flow TTM,Price to Book MRQ,Price to Tangible Book MRQ,Gross margin TTM,Gross Margin 5YA,Operating margin TTM,Operating margin 5YA,Pretax margin TTM,Pretax margin 5YA,Net Profit margin TTM,Net Profit margin 5YA,Revenue/Share TTM,Basic EPS ANN,Diluted EPS ANN,Book Value/Share MRQ,Tangible Book Value/Share MRQ,Cash/Share MRQ,Cash Flow/Share TTM,Return on Equity TTM,Return on Equity 5YA,Return on Assets TTM,Return on Assets 5YA,Return on Investment TTM,Return on Investment 5YA,EPS(MRQ) vs Qtr. 1 Yr. Ago MRQ,EPS(TTM) vs TTM 1 Yr. Ago TTM,5 Year EPS Growth 5YA,Sales (MRQ) vs Qtr. 1 Yr. Ago MRQ,Sales (TTM) vs TTM 1 Yr. Ago TTM,5 Year Sales Growth 5YA,5 Year Capital Spending Growth 5YA,Quick Ratio MRQ,Current Ratio MRQ,LT Debt to Equity MRQ,Total Debt to Equity MRQ,Asset Turnover TTM,Inventory Turnover TTM,Revenue/Employee TTM,Net Income/Employee TTM,Receivable Turnover TTM,Dividend Yield ANN,Dividend Yield 5 Year Avg. 5YA,Dividend Growth Rate ANN,Payout Ratio TTM,Assets Current,Assets Previous,3 Quarter Assets,4 Quarter Assets,Latest Equity,Previous Quarter Equity,3 Quarter Equity,4 Quarter Equity,Month,YTD,Year,ThreeYear,3 Quarters Gross Profit,Sales Growth One Year,Revenue Growth Year,Revenue Growth Quarter,Gross Margin Quarter,Gross Margin Year,Operating Margin Quarter,Asset Turnover Quarter,Asset Turnover Year,Equity Growth Quarter,revenue_growth_score,gross_margin_score,assets_turnover_score,operating_margin_score,size_score_score,rev_score,mar_score,style_score,five_year_growth,five_year_margin,equity_growth_score,pbratio_score,psratio_score,pcf_score,SalesOneYear_score,peratio_score,combined_alpha
Adobe Sys Inc,4262.0,4110.0,3935.0,3835.0,3750,3750,3468,3750,1580,1501,1441,1406,188280000000.0,Information Technology,Jun 16 2022,ADBE,39.52,11.65,27.32,27.49,13.63,-,88.04%,86.71,36.72%,32.62,36.02%,32.08%,29.9%,31.18%,33.66,10.11,10.02,29.18,-1.62,9.96,11.75,35.34,33.2,18.94,17.81%,25.43%,24.34%,2.09%,-12.57%,34.03,9.14%,17.98%,21.94,11.29,-,1.04,26.32%,29.95%,0.63,-,621.13K,185.74K,10.07,0.0,0.0,0.0,0%,25976.0,25976.0,26144,25582,13775.0,14797.0,14414,13852,-3.57,-28.5,-16.67,42.99,3750,9.14,0.11134289439374186,0.036982968369829686,0.8798686062881277,0.9292528806839301,0.3707179727827311,0.10938302022379633,0.1035699620162201,-0.06906805433533825,65.29680365296804,92.00913242009132,54.337899543378995,91.32420091324201,94.97716894977168,47.72727272727273,93.18181818181817,140.9090909090909,91.78082191780823,97.94520547945206,15.517241379310345,89.95433789954338,93.37899543378995,56.62100456621004,63.013698630136986,84.70319634703196,34619.29402671018
Synopsys Inc,1270.26,1152.42,1057.13,1024.32,1013.27,1013.27,852.06,1013.27,347.04,190.29,201.92,194.23,46730000000.0,Information Technology,Aug 17 2022,SNPS,47.17,9.26,37.91,37.13,7.75,27.22,79.78%,77.78,20.72%,15.11,21.22%,16%,20.15%,15.41%,28.64,4.96,4.81,35.15,10,8.3,7.14,17.7,13.19,10.73,7.99%,14.8%,11.32%,93.23%,25.11%,22.79,30.91%,17.87%,11.66,24.48,1.11,1.19,0.45%,0.45%,0.53,4.1,275.30K,55.48K,4.4,0.0,0.0,0.0,0%,8901.35,8901.35,8485.91,8339.57,5386.77,5295.14,5151.02,5088.14,-6.37,-25.1,15.14,124.07,1013.27,30.91,0.24010074976569828,0.10225438642161704,0.7976870876828366,0.8998585742418624,0.27320391101034436,0.09513613103630347,0.08433421147728527,0.01730454718855405,83.56164383561644,85.84474885844749,47.03196347031963,80.13698630136986,71.00456621004567,81.81818181818183,90.9090909090909,172.72727272727275,74.88584474885845,93.83561643835617,63.05418719211823,79.45205479452055,89.26940639269407,73.0593607305936,84.24657534246576,88.81278538812786,34440.19420195613
Tjx Co Inc,13854.37,12531.89,12077.06,10086.66,3759.85,3759.85,3548.93,3759.85,1263.95,1399.71,1082.99,766.03,73130000000.0,Consumer Discretionary,Aug 16 2022,TJX,22.27,1.46,92.91,92.91,11.84,11.97,28.5%,32.49,9.29%,8.78,9.06%,8.58%,6.76%,6.2%,39.94,2.74,2.7,5.08,5,5.27,3.41,55.47,44.89,11.08,11.75%,17.28%,18.03%,202.68%,"5,099.61%",9.32,26.6%,51.07%,7.91,0.34,0.7,1.27,55.89%,55.89%,1.64,6.74,142.79K,9.66K,99.21,1.96,1.24,-11.15,38.02%,28461.46,28461.46,28783.45,30301.43,6002.99,6444.77,6406.38,6139.21,-8.8,-24.67,-21.04,8.54,3759.85,26.6,0.3735339547481526,0.10552917397136437,0.2713836861582302,0.30977149733120385,0.09123114223165688,0.32451766939105253,0.28430246843743545,-0.06854860607903783,84.70319634703196,20.319634703196346,90.6392694063927,37.44292237442922,81.5068493150685,83.5820895522388,35.82089552238806,119.40298507462686,59.3607305936073,41.32420091324201,15.763546798029557,86.98630136986301,24.200913242009133,93.37899543378995,90.6392694063927,55.93607305936074,34164.21227421164
Atlassian Corp Plc,740.49,688.53,614.02,559.54,621.12,621.12,516.01,621.12,-16.13,-66.72,39.65,-7.53,44560000000.0,Information Technology,Jul 28 2022,TEAM,0.0,15.87,51.12,52.83,136.35,-,83.52%,82.79,-1.95%,-0.77,-27.27%,-26.43%,-27.73%,-27.85%,10.31,-2.79,-2.79,1.19,-2.11,5.04,-2.51,-201.71,-51.75,-22.39,-14.25%,-58.4%,-34.71%,-119.56%,21.8%,0.0,30.2%,32.78%,35.52,-0.53,-,1.19,421.07%,434.12%,0.81,-,404.57K,-112.19K,11.57,0.0,0.0,0.0,-,3124.58,3124.58,3417.12,2945.34,302.96,123.62,-27.24,294.91,-32.5,-51.91,-18.31,42.28,621.12,30.2,0.3233906423133289,0.0754651213454752,0.8387959324231252,0.954621952062953,-0.021782873502680655,0.15799243418315423,0.13882292446771513,1.450736126840317,78.08219178082192,89.95433789954338,72.6027397260274,6.392694063926941,68.94977168949772,85.22727272727273,94.31818181818183,179.54545454545456,97.48858447488584,96.34703196347031,98.76847290640394,99.08675799086758,98.17351598173516,84.24657534246576,88.81278538812786,3.5388127853881275,34029.80459156652
Intuit,2673.0,2007.0,2561.0,4173.0,2108,2108,2096,2108,56,195,402,1914,103280000000.0,Information Technology,May 24 2022,INTU,45.08,8.75,40.31,43.73,6.41,-,82.11%,82.97,22.49%,26.92,22.71%,27.16%,19.03%,21.89%,40.8,7.64,7.55,55.11,-19.52,5,9.75,17.76,41.69,10.62,21.3%,12.32%,31.34%,375.61%,18.54%,19.95,69.61%,47.91%,15.46,-24.86,-,1.18,43.17%,43.17%,0.56,-,845.48K,160.89K,16.86,0.77,0.62,15.06,33.15%,26303.0,26303.0,15516,15758,15595.0,9733.0,9869,9955,-22.38,-42.88,-6.98,50.19,2108,69.61,-0.35945363048166784,0.33183856502242154,0.788627010849233,0.7387418959172946,0.020950243172465393,0.06774892597802532,0.07232381604126271,0.602280900030823,97.48858447488584,84.47488584474885,30.36529680365297,23.28767123287671,87.89954337899543,2.272727272727273,70.45454545454545,72.72727272727272,84.01826484018264,96.80365296803653,98.0295566502463,74.42922374429224,88.81278538812786,74.88584474885845,3.1963470319634704,87.21461187214612,34020.725951736815
Servicenow Inc,1722.0,1614.0,1512.0,1409.0,1353,1353,1162,1353,87,35,74,51,86090000000.0,Information Technology,Jul 27 2022,NOW,375.18,13.21,46.12,42.55,20.68,27.95,77.27%,76.86,3.95%,1.83,3.76%,1.7%,3.56%,4.52%,30.8,1.16,1.13,19.94,14.75,20.02,3.4,6.34,9.35,2.25,2.91%,3.95%,5.53%,-8.78%,45.71%,0.0,26.62%,29.46%,33.49,26.27,-,1.12,37.13%,39.33%,0.63,-,370.65K,13.21K,8.52,0.0,0.0,0.0,0%,10993.0,10993.0,9478,9187,3997.0,3695.0,3534,3275,-10.78,-30.27,-1.67,62.85,1353,26.62,0.22214336408800567,0.06691449814126393,0.7857142857142857,0.8649512545948538,0.050522648083623695,0.10443009187664877,0.09486339791988842,0.0817320703653586,74.88584474885845,84.24657534246576,51.82648401826484,28.538812785388128,85.38812785388129,72.72727272727273,85.22727272727273,157.95454545454547,96.80365296803653,92.69406392694064,87.68472906403942,93.37899543378995,95.4337899543379,80.13698630136986,80.82191780821918,99.54337899543378,33998.38838141862
Mcgraw Hill,2389.0,2088.0,2087.0,2106.0,1640,1640,1544,1640,1875,904,1083,1154,113000000000.0,Financial,Jul 28 2022,SPGI,23.83,12.94,39.79,49.3,3.01,-,72.12%,72.71,57.85%,46.15,57.38%,44.49%,43.29%,34.55%,34.61,12.56,12.51,109.67,-41.76,12.17,16.04,17.21,302.32,9.51,21.99%,11.82%,42.44%,43.03%,36.34%,9.51,18.5%,13.01%,7.95,-21.17,-,1.38,28.53%,28.69%,0.22,-,379.43K,164.25K,4.41,1.03,0.83,15.48,21.2%,66092.0,66092.0,14111,13398,39702.0,2032.0,1845,1265,-13.09,-28.62,-11.16,56.46,1640,18.5,0.13437796771130103,0.14415708812260536,0.6864796986186689,0.7566320645905421,0.7848472164085392,0.02409772236680183,0.021863463051503964,18.538385826771652,90.6392694063927,73.97260273972603,7.30593607305936,99.54337899543378,88.81278538812786,80.3030303030303,51.515151515151516,131.8181818181818,59.589041095890416,89.72602739726028,100.0,48.05936073059361,94.97716894977168,73.74429223744292,67.8082191780822,59.817351598173516,33831.19551681195
Netease.Com,24373.56,22190.75,20524.5,20517.21,12917.78,12917.78,11189.61,12917.78,4608.17,3775.2,3758.12,4275.57,58050000000.0,Communication Services,May 24 2022,NTES,25.22,4.84,23.16,23.16,4.34,4.45,53.62%,53.74,18.74%,21.4,24.09%,24.6%,19.38%,19.95%,19.26,3.75,3.71,21.56,21.56,22.06,4.45,19.0,20.59,11.49,12.18%,18.6%,20.6%,499.23%,38.17%,6.74,23.34%,18.92%,20.84,22.23,2.22,2.24,1.34%,21.64%,0.59,51.24,404.53K,78.39K,17.37,1.25,1.16,45.08,0%,153643.92,153643.92,154857.02,150503.88,95328.08,83780.07,86136.04,85706.49,-11.04,-16.96,-20.6,61.54,12917.78,23.34,0.1879568420852544,0.09836576050831997,0.5299915153961916,0.5898124352641521,0.1890642975420907,0.10575778071790931,0.0950314423983281,0.13783719684168316,83.10502283105022,57.30593607305936,53.19634703196348,65.75342465753424,76.9406392694064,86.20689655172413,75.86206896551724,162.06896551724137,89.95433789954338,70.31963470319634,92.85714285714286,61.87214611872146,74.20091324200914,51.369863013698634,77.6255707762557,64.15525114155251,33761.88339294149
Fastenal Co,1704.1,1531.9,1554.2,1507.7,793.3,793.3,720.2,793.3,358,300.9,318.4,317.8,29700000000.0,Industrials,Jul 13 2022,FAST,30.1,4.69,0.0,-,9.4,9.4,46.48%,47.15,20.56%,20.11,20.41%,19.9%,15.62%,14.69%,10.91,1.61,1.6,5.46,5.46,0.41,2,33.19,31.51,23.04,22.14%,27.58%,25.71%,27.78%,13.2%,13.16,20.26%,10.54%,8.69,-3.74,1.92,4.07,10.5%,11.62%,1.47,2.32,307.11K,47.98K,6.55,2.42,2.17,13.3,67.21%,4466.7,4466.7,4222.5,4166.6,3142.0,3042.2,2964.7,2880.8,-5.93,-17.75,-2.24,63.13,793.3,20.26,0.13026464150693098,0.11240942620275463,0.4655243236899243,0.5038504898458216,0.2100815679830996,0.25434138551204843,0.23499451496630624,0.032805206758267105,86.0730593607306,49.31506849315068,88.35616438356165,69.86301369863014,53.42465753424658,77.14285714285715,77.14285714285715,154.2857142857143,62.328767123287676,63.013698630136986,72.41379310344827,82.42009132420091,72.6027397260274,10.159817351598173,66.43835616438356,73.51598173515981,33667.640641518774
Old Dominion Freight Line Inc,1497.28,1410.36,1400.05,1319.41,1305.92,1305.92,1253.54,1305.92,405.62,372.49,383.41,366.04,27670000000.0,Industrials,Jul 28 2022,ODFL,24.15,4.76,47.01,45.06,7.68,7.65,88.72%,89.0,27.15%,21.7,27.09%,21.68%,20.17%,15.82%,48.55,8.94,8.89,30.8,30.8,4.76,12.06,33.9,23.26,25.01,17.54%,28.43%,19.43%,53.08%,56.17%,30.24,32.91%,35.45%,11.93,5.65,-,2.21,2.85%,2.85%,1.24,-,237.80K,47.96K,9.66,0.51,0.29,32.15,9.11%,4722.65,4722.65,4613.12,4534.45,3503.31,3679.81,3419.9,3402.38,3.16,-23.79,1.32,180.18,1305.92,32.91,0.13481025609931702,0.06162965483989909,0.8721949134430435,0.9283076540313839,0.27090457362684334,0.21136155901171308,0.1985855398981504,-0.04796443294626625,72.8310502283105,91.55251141552512,84.24657534246576,79.45205479452055,50.2283105022831,78.57142857142857,100.0,178.57142857142856,75.34246575342466,98.63013698630137,18.7192118226601,78.99543378995433,73.28767123287672,81.27853881278538,68.2648401826484,61.18721461187214,33158.98171266617
Illinois Tool Wk R,3939.0,3679.0,3556.0,3676.0,1582,1582,1460,1582,895,834,845,893,62990000000.0,Industrials,Jul 25 2022,ITW,23.9,4.27,79.38,130.61,17.69,-,40.69%,41.67,23.35%,24.03,22.37%,22.76%,18.08%,17.42%,47.07,8.55,8.51,11.5,-7.39,4.16,9.83,78.34,68.01,16.81,15.69%,21.14%,19.26%,-0.02%,22.19%,8.36,11.15%,15.21%,1.23,1.63,1.24,1.73,190.37%,219.44%,0.93,5.55,330.00K,59.67K,5.13,2.4,2.07,11.58,55.98%,16286.0,16286.0,15517,15580,3581.0,3625.0,3492,3520,5.79,-15.87,-12.94,36.18,1582,11.15,0.07154515778019586,0.0706713780918728,0.40162477786240164,0.42612794612794613,0.2272150291952272,0.1612427852142945,0.15197101805231486,-0.012137931034482758,76.02739726027397,41.0958904109589,74.20091324200914,71.68949771689498,78.76712328767124,64.28571428571429,67.14285714285714,131.42857142857144,19.06392694063927,55.02283105022832,31.2807881773399,92.00913242009132,68.4931506849315,91.78082191780823,53.19634703196348,60.273972602739725,32981.771711991365
